filename,width,height,class,xmin,ymin,xmax,ymax
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0476.jpg,1920,1080,robot,1799,529,1920,740
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0476.jpg,1920,1080,robot,844,492,957,695
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0673.jpg,1440,1080,robot,1223,398,1322,613
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0673.jpg,1440,1080,robot,628,354,709,552
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0342.jpg,1920,1080,robot,764,374,877,589
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0342.jpg,1920,1080,robot,194,392,328,620
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0037.jpg,1440,1080,robot,1199,388,1296,604
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0037.jpg,1440,1080,robot,625,351,712,554
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0932.jpg,1920,1080,robot,849,490,951,689
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0932.jpg,1920,1080,robot,1068,519,1167,735
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0075.jpg,1440,1080,robot,633,355,706,551
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0373.jpg,1920,1080,robot,1570,420,1722,640
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0373.jpg,1920,1080,robot,761,379,875,586
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1083.jpg,1920,1080,robot,348,513,492,755
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1083.jpg,1920,1080,robot,844,489,958,698
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0302.jpg,1440,1080,robot,623,353,714,557
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1285.jpg,1920,1080,robot,574,523,698,754
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1285.jpg,1920,1080,robot,840,490,958,700
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0888.jpg,1440,1080,robot,627,355,711,555
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0888.jpg,1440,1080,robot,1262,397,1376,612
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0561.jpg,1920,1080,robot,1725,419,1870,643
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0561.jpg,1920,1080,robot,760,376,874,588
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1085.jpg,1920,1080,robot,760,376,872,582
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1315.jpg,1920,1080,robot,1571,414,1698,627
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1315.jpg,1920,1080,robot,767,383,871,574
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1177.jpg,1920,1080,robot,1040,410,1145,634
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1177.jpg,1920,1080,robot,765,381,871,583
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1037.jpg,1920,1080,robot,1069,413,1183,632
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1037.jpg,1920,1080,robot,764,379,874,585
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0019.jpg,1440,1080,robot,949,385,1027,606
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0019.jpg,1440,1080,robot,626,352,713,559
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0908.jpg,1440,1080,robot,75,367,181,592
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0908.jpg,1440,1080,robot,626,347,716,560
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0078.jpg,1440,1080,robot,633,355,710,550
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0078.jpg,1440,1080,robot,79,366,183,571
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0739.jpg,1440,1080,robot,632,356,709,552
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0832.jpg,1440,1080,robot,626,351,714,557
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0703.jpg,1920,1080,robot,1685,528,1822,744
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0703.jpg,1920,1080,robot,853,492,950,687
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0987.jpg,1440,1080,robot,316,373,401,573
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0987.jpg,1440,1080,robot,630,358,710,552
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0626.jpg,1440,1080,robot,630,354,709,552
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0626.jpg,1440,1080,robot,1,362,72,584
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0036.jpg,1440,1080,robot,628,355,715,555
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0764.jpg,1440,1080,robot,632,359,707,551
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0228.jpg,1440,1080,robot,633,354,710,553
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0228.jpg,1440,1080,robot,1293,397,1401,614
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0350.jpg,1440,1080,robot,631,355,710,551
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0350.jpg,1440,1080,robot,995,392,1080,597
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0578.jpg,1440,1080,robot,500,380,584,590
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0578.jpg,1440,1080,robot,622,354,713,557
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0478.jpg,1920,1080,robot,766,385,867,575
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0478.jpg,1920,1080,robot,1301,421,1409,634
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1219.jpg,1920,1080,robot,183,513,297,729
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1219.jpg,1920,1080,robot,852,494,951,689
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1089.jpg,1440,1080,robot,506,379,598,585
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1089.jpg,1440,1080,robot,628,357,714,555
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0303.jpg,1440,1080,robot,631,355,712,549
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0860.jpg,1920,1080,robot,767,385,867,576
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0860.jpg,1920,1080,robot,1422,412,1539,622
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0557.jpg,1920,1080,robot,366,385,473,616
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0557.jpg,1920,1080,robot,764,383,871,575
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0299.jpg,1920,1080,robot,766,382,868,577
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0299.jpg,1920,1080,robot,1597,414,1708,624
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0675.jpg,1920,1080,robot,849,496,948,689
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0675.jpg,1920,1080,robot,1364,526,1472,741
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0111.jpg,1440,1080,robot,274,361,370,591
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0111.jpg,1440,1080,robot,626,352,713,553
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0813.jpg,1440,1080,robot,994,388,1073,603
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0813.jpg,1440,1080,robot,628,352,712,553
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0692.jpg,1440,1080,robot,633,358,708,552
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0605.jpg,1440,1080,robot,613,378,684,589
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0393.jpg,1920,1080,robot,847,492,951,693
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0393.jpg,1920,1080,robot,42,513,172,736
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1353.jpg,1920,1080,robot,1605,411,1732,636
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image1353.jpg,1920,1080,robot,769,381,872,577
/home/fei/RoboFEI-HT_Debug/AI/Vision/Train/imagensTrain/image0191.jpg,1920,1080,robot,1678,423,1836,643
